id,product_name,price,source,scraped_at
1,Cafetera de Filtro Mandine MCM8616- Negra,39000.0,Café,2025-11-13T00:47:57.680265
2,Cápsulas de café clásico Carrefour x 16 uni,12039.3,Café,2025-11-13T00:47:57.680278
3,Cáfe Café martinez tostado molido suave 260 g.,15799.0,Café,2025-11-13T00:47:57.680283
4,Café molido Café Martínez estilo italiano 330 g.,20799.0,Café,2025-11-13T00:47:57.680286
5,Café Torrado molido La planta de Café Cabrales 500 g.,12800.0,Café,2025-11-13T00:47:57.680289
6,Café Torrado molido La Planta de Café Cabrales 250 g.,6750.0,Café,2025-11-13T00:47:57.680292
7,Molinillo De Café Eléctrico Ariete,232349.0,Café,2025-11-13T00:47:57.680297
8,Corona café 45 cm,29990.0,Café,2025-11-13T00:47:57.680300
9,Set de café Petit Gourmet,6590.0,Café,2025-11-13T00:47:57.680303
10,Taza de café tango 1 u.,1790.0,Café,2025-11-13T00:47:57.680305
11,Arroz con leche Tegar con dulce de leche 180 g.,1749.0,Leche,2025-11-13T00:47:58.870373
12,Leche chocolatada ​Cindor 1 lt,5959.0,Leche,2025-11-13T00:47:58.870383
13,Leche Chocolatada Nesquik 200 ml,1549.0,Leche,2025-11-13T00:47:58.870387
14,Dulce de leche Milkaut 1 kg.,7129.0,Leche,2025-11-13T00:47:58.870389
15,Espumador de leche Smartlife sl mf1700,74999.0,Leche,2025-11-13T00:47:58.870392
16,Leche chocolatada ​Cindor 200 ml.,2139.0,Leche,2025-11-13T00:47:58.870395
17,Yogur entero Tregar dulce de leche,915.0,Leche,2025-11-13T00:47:58.870398
18,Crema de leche Ilolay 200 cc.,2595.0,Leche,2025-11-13T00:47:58.870401
19,Licor Cusenier dulce de leche700 cc.,7409.0,Leche,2025-11-13T00:47:58.870404
20,Espumador De Leche Ariete Negro Multifunción,131624.25,Leche,2025-11-13T00:47:58.870407
21,Azúcar Ledesma light 500 g.,1925.0,Azúcar,2025-11-13T00:47:59.921199
22,Algodón de azúcar oosh (Modelos Surtidos),7990.0,Azúcar,2025-11-13T00:47:59.921208
23,Azúcar mascabo Ledesma 800 g.,2100.0,Azúcar,2025-11-13T00:47:59.921212
24,Azúcar Hileret light 500 g.,1923.75,Azúcar,2025-11-13T00:47:59.921215
25,Azúcar Hileret light 250 g.,1154.25,Azúcar,2025-11-13T00:47:59.921224
26,Azúcar impalpable Abucel sin tacc en bolsa 500 g.,2515.0,Azúcar,2025-11-13T00:47:59.921228
27,Azúcar impalpable Pergola 250 g. sin TACC,1109.0,Azúcar,2025-11-13T00:47:59.921232
28,Azúcar impalpable Dos Anclas bolsa 300 g.,2420.0,Azúcar,2025-11-13T00:47:59.921234
29,Nesfit cereal sin azúcar 220 grs,2859.35,Azúcar,2025-11-13T00:47:59.921237
30,Jugo de frutilla sin azúcar 500 ml.,3990.0,Azúcar,2025-11-13T00:47:59.921240
